Time,Mem,CPU,Labels,Annotations
10:52:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:53:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:53:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:53:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:54:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:54:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:54:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:55:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:55:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:55:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:56:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:56:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:56:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:57:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:57:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:57:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:58:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:58:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:58:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:59:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:59:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:59:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:00:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:00:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:00:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:01:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:01:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:01:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:02:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:02:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:02:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:03:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:03:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:03:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:04:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:04:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:04:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:05:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:05:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:05:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:06:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:06:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:06:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:07:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:07:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:07:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:08:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
