Date,Time,Pid,Address,Permission,Offset,Device,Inode,Pathname
2022-01-31,20:21:01,7389,2b65af79d000-2b65af79e000,rw-p,00005000,fd:00,59696,['/usr/lib64/libcap-ng.so.0.0.0']
2022-01-31,20:21:01,7389,2b65af79e000-2b65af7aa000,r-xp,00000000,fd:00,728752,['/usr/lib64/libnss_files-2.17.so']
2022-01-31,20:21:01,7389,2b65af7aa000-2b65af9a9000,---p,0000c000,fd:00,728752,['/usr/lib64/libnss_files-2.17.so']
2022-01-31,20:21:01,7389,2b65af9a9000-2b65af9aa000,r--p,0000b000,fd:00,728752,['/usr/lib64/libnss_files-2.17.so']
2022-01-31,20:21:01,7389,2b65af9aa000-2b65af9ab000,rw-p,0000c000,fd:00,728752,['/usr/lib64/libnss_files-2.17.so']
2022-01-31,20:21:01,7389,2b65af9ab000-2b65af9b1000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65af9b1000-2b65af9d0000,r-xp,00000000,fd:00,9381651,['/usr/lib64/slurm/select_cons_res.so']
2022-01-31,20:21:01,7389,2b65af9d0000-2b65afbcf000,---p,0001f000,fd:00,9381651,['/usr/lib64/slurm/select_cons_res.so']
2022-01-31,20:21:01,7389,2b65afbcf000-2b65afbd0000,r--p,0001e000,fd:00,9381651,['/usr/lib64/slurm/select_cons_res.so']
2022-01-31,20:21:01,7389,2b65afbd0000-2b65afbd1000,rw-p,0001f000,fd:00,9381651,['/usr/lib64/slurm/select_cons_res.so']
2022-01-31,20:21:01,7389,2b65afbd1000-2b65afbd4000,r-xp,00000000,fd:00,9381816,['/usr/lib64/slurm/auth_munge.so']
2022-01-31,20:21:01,7389,2b65afbd4000-2b65afdd3000,---p,00003000,fd:00,9381816,['/usr/lib64/slurm/auth_munge.so']
2022-01-31,20:21:01,7389,2b65afdd3000-2b65afdd4000,r--p,00002000,fd:00,9381816,['/usr/lib64/slurm/auth_munge.so']
2022-01-31,20:21:01,7389,2b65afdd4000-2b65afdd5000,rw-p,00003000,fd:00,9381816,['/usr/lib64/slurm/auth_munge.so']
2022-01-31,20:21:01,7389,2b65afdd5000-2b65afdde000,r-xp,00000000,fd:00,546549,['/usr/lib64/libmunge.so.2.0.0']
2022-01-31,20:21:01,7389,2b65afdde000-2b65affdd000,---p,00009000,fd:00,546549,['/usr/lib64/libmunge.so.2.0.0']
